0.01,BadOneMove|BadTwoMove|BadThrMove,Up|Left|Right
0.52,BadThrMove,Down
0.05,PlayerMove,Up
0.11,BadOneMove,Up
0.17,BadTwoMove,Left
0.17,PlayerMove,Left
0.02,BadThrMove,Left
0.32,BadOneMove,Up
0.06,BonusTile|EatBonus,0|100
0.12,PlayerMove,Down
0.02,BadThrMove,Up
0.14,BadTwoMove,Left
0.25,PlayerMove,Right
0.09,BadOneMove,Up
0.04,BadThrMove,Left
0.27,CandyTile|EatCandy,11|10
0.01,PlayerMove,Up
0.19,BadTwoMove,Left
0.05,BadThrMove,Down
0.12,BadOneMove,Up
0.05,PlayerMove,Right
0.35,BadThrMove,Left
0.06,PlayerMove,Right
0.22,BadOneMove|BadTwoMove,Left|Left
0.19,PlayerMove,Right
0.05,BadThrMove,Up
0.36,PlayerMove,Right
0.08,BadOneMove,Up
0.08,BadThrMove,Up
0.09,BadTwoMove,Up
0.16,PlayerMove,Down
0.27,BadThrMove,Right
0.08,BadOneMove,Right
0.05,CandyTile|EatCandy,15|10
0.01,PlayerMove,Right
0.28,BadTwoMove,Right
0.1,BadThrMove,Right
0.02,CandyTile|EatCandy,16|10
0.01,PlayerMove,Right
0.21,BadOneMove,Right
0.2,PlayerMove,Right
0.08,BadThrMove,Up
0.23,BadTwoMove,Right
0.09,CandyTile|EatCandy,18|10
0.03,PlayerMove,Down
0.05,BadOneMove,Right
0.12,BadThrMove,Up
0.24,PlayerMove,Down
0.28,BadThrMove,Up
0.04,BadOneMove|BadTwoMove,Right|Right
0.08,CandyTile|EatCandy,38|10
0.01,PlayerMove,Right
0.39,BadThrMove,Up
0.16,PlayerMove,Down
0.04,BadOneMove,Up
0.17,BadTwoMove,Right
0.15,BadThrMove,Right
0.05,PlayerMove,Down
0.31,BadOneMove,Up
0.1,PlayerMove,Down
0.06,BadThrMove,Down
0.18,BadTwoMove,Right
0.17,PlayerMove,Down
0.17,BadOneMove|BadThrMove,Left|Down
0.24,PlayerMove,Down
0.27,BadTwoMove,Right
0.01,BadThrMove,Down
0.13,PlayerMove,Down
0.03,BadOneMove,Left
0.36,BadThrMove,Down
0.01,BonusTile|EatBonus,99|800
0.01,PlayerMove,Left
0.3,BadOneMove|BadTwoMove,Left|Down
0.11,PlayerMove,Left
0.09,BadThrMove,Down
0.32,PlayerMove,Left
0.16,BadOneMove,Left
0.04,BadThrMove,Down
0.13,BadTwoMove,Down
0.08,PlayerMove,Up
0.31,BadThrMove,Left
0.09,CandyTile|EatCandy,86|10
0.01,PlayerMove,Left
0.02,BadOneMove,Down
0.34,BadTwoMove,Down
0.04,CandyTile|EatCandy,85|10
0.01,PlayerMove,Left
0.01,BadThrMove,Left
0.28,BadOneMove,Right
0.11,CandyTile|EatCandy,84|10
0.01,PlayerMove,Left
0.12,BadThrMove,Left
0.27,BadTwoMove,Down
0.01,CandyTile|EatCandy,83|10
0.01,PlayerMove,Left
0.15,BadOneMove,Right
0.08,BadThrMove,Left
0.18,PlayerMove,Left
0.34,BadThrMove,Left
0.06,CandyTile|EatCandy,81|10
0.01,PlayerMove,Up
0.01,BadOneMove|BadTwoMove,Up|Down
0.4,PlayerMove,Up
0.04,BadThrMove,Left
0.24,BadOneMove,Right
0.12,CandyTile|EatCandy,61|10
0.01,PlayerMove,Up
0.04,BadTwoMove,Down
0.11,BadThrMove,Left
0.25,CandyTile|EatCandy,51|10
0.01,PlayerMove,Up
0.14,BadOneMove,Down
0.12,BadThrMove,Left
0.14,CandyTile|EatCandy,41|10
0.01,PlayerMove,Up
0.07,BadTwoMove,Left
0.3,BadThrMove,Up
0.03,CandyTile|EatCandy,31|10
0.01,PlayerMove|BadOneMove,Up|Down
0.48,BadThrMove,Up
0.03,BadTwoMove,Up
0.1,PlayerMove,Up
0.07,BadOneMove,Left
0.32,BadThrMove,Up
0.26,PlayerMove,Right
0.1,BadOneMove|BadTwoMove,Left|Right
0.16,BadThrMove,Up
0.15,PlayerMove,Right
0.37,BadOneMove|BadThrMove,Up|Up
0.03,CandyTile|EatCandy,13|10
0.01,PlayerMove,Right
0.13,BadTwoMove,Down
0.27,CandyTile|EatCandy,14|10
